episode_id,match_id,competition_name,possession_origin_pattern,restart_event_type,restart_event_timestamp,restart_location,turnover_event_type,turnover_event_timestamp,turnover_location,elapsed_time_restart_to_turnover,num_events_between,num_successful_passes,events_sequence_summary,initiation_event_type,initiation_timestamp,initiation_location,counterpressing_team,possession_team,turnover_context
3835329_p90_438c6a04,3835329,UEFA Women's Euro,From Throw In,Pass,00:43:39.376,"[112.4, 80.0]",Block,00:43:40.873,"[4.4, 24.1]",1.497,3,0,Pass -> Ball Receipt* -> Block,Pressure,00:43:43.332,"[108.7, 57.0]",Denmark Women's,Denmark Women's,immediate_restart_phase
3837885_p44_bbd63cdb,3837885,Ligue 1,From Throw In,Pass,00:21:24.801,"[114.3, 0.1]",Duel,00:21:28.473,"[2.7, 61.1]",3.672,6,1,Pass -> Pressure -> Ball Receipt* -> Carry -> Dispossessed -> Duel,Pressure,00:21:30.448,"[114.7, 13.2]",Paris Saint-Germain,Paris Saint-Germain,ambiguous
3930159_p79_4201a2cd,3930159,UEFA Euro,From Throw In,Pass,00:01:23.779,"[87.0, 80.0]",Ball Recovery,00:01:27.819,"[6.4, 22.6]",4.04,7,1,Pass -> Ball Receipt* -> Carry -> Pass -> Pressure -> Ball Receipt* ... (+1 more),Duel,00:01:28.849,"[117.8, 58.0]",Switzerland,Switzerland,ambiguous
3998844_p116_3b92c6f3,3998844,UEFA Women's Euro,From Throw In,Pass,00:04:29.568,"[77.2, 80.0]",Interception,00:04:35.241,"[42.1, 0.7]",5.673,6,1,Pass -> Ball Receipt* -> Carry -> Pressure -> Pass -> Interception,Block,00:04:36.624,"[81.8, 77.2]",Switzerland Women's,Switzerland Women's,ambiguous
3857275_p87_847e87ec,3857275,FIFA World Cup,From Throw In,Pass,00:45:58.451,"[107.4, 80.0]",Ball Recovery,00:46:01.550,"[7.4, 23.5]",3.099,8,1,Pass -> Pressure -> Ball Receipt* -> Carry -> Dispossessed -> Duel ... (+2 more),Foul Committed,00:46:01.875,"[112.7, 56.6]",Tunisia,Tunisia,ambiguous
3895113_p38_a98f1cea,3895113,1. Bundesliga,From Throw In,Pass,00:20:00.762,"[93.5, 0.1]",Ball Recovery,00:20:04.026,"[6.2, 71.2]",3.264,8,1,Pass -> Ball Receipt* -> Carry -> Pressure -> Dribble -> Duel ... (+2 more),Pressure,00:20:05.024,"[108.6, 4.5]",Wolfsburg,Wolfsburg,ambiguous
3901796_p107_4009a1a4,3901796,Women's World Cup,From Throw In,Pass,00:11:15.100,"[43.9, 80.0]",50/50,00:11:19.958,"[57.0, 7.8]",4.858,11,1,Pass -> Pressure -> Ball Receipt* -> Carry -> Pressure -> Pass ... (+5 more),Pressure,00:11:20.520,"[63.2, 71.6]",Netherlands Women's,Netherlands Women's,ambiguous
3877170_p10_37e82900,3877170,Major League Soccer,From Throw In,Pass,00:04:41.734,"[115.1, 0.1]",Ball Recovery,00:04:47.840,"[50.8, 54.6]",6.106,6,1,Pass -> Ball Receipt* -> Carry -> Pass -> Ball Receipt* -> Ball Recovery,Pressure,00:04:50.032,"[51.5, 35.3]",Inter Miami,Inter Miami,ambiguous
3893811_p24_9ef49324,3893811,Women's World Cup,From Throw In,Pass,00:15:01.467,"[93.4, 0.1]",Ball Recovery,00:15:07.135,"[38.9, 69.2]",5.668,6,0,Pass -> Ball Receipt* -> Clearance -> Clearance -> Pressure -> Ball Recovery,Foul Committed,00:15:09.444,"[85.3, 7.6]",England Women's,England Women's,immediate_restart_phase
3893795_p122_8d11ca97,3893795,Women's World Cup,From Throw In,Pass,00:11:29.830,"[105.7, 80.0]",Ball Recovery,00:11:32.017,"[9.0, 32.1]",2.187,3,0,Pass -> Ball Receipt* -> Ball Recovery,Pressure,00:11:38.881,"[75.8, 14.5]",Denmark Women's,Denmark Women's,immediate_restart_phase
3930169_p70_cfaaa69e,3930169,UEFA Euro,From Throw In,Pass,00:35:08.934,"[47.0, 80.0]",Pass,00:35:10.613,"[49.2, 4.0]",1.679,3,0,Pass -> Ball Receipt* -> Pass,Pressure,00:35:11.995,"[59.8, 76.8]",Switzerland,Switzerland,immediate_restart_phase
3893819_p196_48a566fb,3893819,Women's World Cup,From Throw In,Pass,00:41:07.867,"[83.1, 80.0]",Ball Recovery,00:41:11.974,"[33.4, 18.1]",4.107,8,1,Pass -> Pressure -> Ball Receipt* -> Carry -> Pressure -> Miscontrol ... (+2 more),Duel,00:41:13.584,"[77.3, 66.0]",Korea Republic Women's,Korea Republic Women's,ambiguous
3869151_p75_e52a0af8,3869151,FIFA World Cup,From Throw In,Pass,00:02:17.581,"[30.9, 0.1]",Ball Recovery,00:02:19.841,"[74.0, 63.4]",2.26,5,1,Pass -> Ball Receipt* -> Carry -> Miscontrol -> Ball Recovery,Pressure,00:02:20.415,"[42.8, 18.1]",Argentina,Argentina,immediate_restart_phase
3857274_p125_687740b5,3857274,FIFA World Cup,From Throw In,Pass,00:22:24.589,"[81.1, 80.0]",Interception,00:22:25.921,"[26.8, 16.1]",1.332,3,0,Pass -> Ball Receipt* -> Interception,Block,00:22:27.080,"[100.0, 67.2]",Netherlands,Netherlands,immediate_restart_phase
3930175_p115_4b553547,3930175,UEFA Euro,From Throw In,Pass,00:15:34.939,"[109.1, 0.1]",Duel,00:15:38.917,"[2.2, 76.3]",3.978,11,1,Pass -> Pressure -> Ball Receipt* -> Carry -> Pass -> Ball Receipt* ... (+5 more),Pressure,00:15:40.387,"[114.5, 5.9]",Belgium,Belgium,ambiguous
4020005_p47_9493ec98,4020005,UEFA Women's Euro,From Throw In,Pass,00:26:13.722,"[77.9, 0.1]",Miscontrol,00:26:15.120,"[93.7, 6.4]",1.398,4,1,Pass -> Ball Receipt* -> Carry -> Miscontrol,Pressure,00:26:16.860,"[89.0, 4.0]",England Women's,England Women's,immediate_restart_phase
3835324_p175_3f6bc9f2,3835324,UEFA Women's Euro,From Throw In,Pass,00:37:23.578,"[95.4, 0.1]",Interception,00:37:27.281,"[24.9, 68.2]",3.703,8,1,Pass -> Pressure -> Ball Receipt* -> Carry -> Pressure -> Pass ... (+2 more),50/50,00:37:30.599,"[78.6, 14.3]",Netherlands Women's,Netherlands Women's,ambiguous
3998844_p80_51a0c0c7,3998844,UEFA Women's Euro,From Throw In,Pass,00:39:15.120,"[76.4, 80.0]",Interception,00:39:16.113,"[30.7, 2.4]",0.993,3,0,Pass -> Ball Receipt* -> Interception,Pressure,00:39:16.155,"[89.4, 77.9]",Iceland Women's,Iceland Women's,immediate_restart_phase
3893810_p54_8723786c,3893810,Women's World Cup,From Throw In,Pass,00:25:02.380,"[98.6, 80.0]",Clearance,00:25:04.575,"[10.3, 25.4]",2.195,3,0,Pass -> Ball Receipt* -> Clearance,Pressure,00:25:10.322,"[105.1, 65.4]",Portugal Women's,Portugal Women's,immediate_restart_phase
3941020_p46_63303973,3941020,UEFA Euro,From Free Kick,Pass,00:29:15.591,"[9.0, 56.9]",Duel,00:29:27.250,"[48.8, 8.4]",11.659,13,1,Pass -> Ball Receipt* -> Pass -> Duel -> Pass -> Ball Receipt* ... (+7 more),Interception,00:29:29.811,"[55.2, 66.2]",Slovenia,Slovenia,ambiguous
3857265_p52_78c1fe85,3857265,FIFA World Cup,From Free Kick,Pass,00:27:44.655,"[14.7, 53.1]",Pass,00:27:47.928,"[38.9, 15.6]",3.273,3,0,Pass -> Ball Receipt* -> Pass,Pressure,00:27:49.768,"[60.0, 54.8]",Poland,Poland,immediate_restart_phase
3857277_p113_6cdb89dc,3857277,FIFA World Cup,From Free Kick,Pass,00:19:04.941,"[87.9, 32.0]",Goal Keeper,00:19:07.294,"[1.4, 39.6]",2.353,4,1,Pass -> Ball Receipt* -> Shot -> Goal Keeper,Pressure,00:19:11.956,"[96.4, 75.2]",Morocco,Morocco,immediate_restart_phase
3893787_p177_1d1d48ca,3893787,Women's World Cup,From Free Kick,Pass,00:47:23.224,"[63.1, 4.7]",Duel,00:47:34.795,"[14.7, 22.5]",11.571,15,1,Pass -> Ball Receipt* -> Duel -> Clearance -> Pass -> Pressure ... (+9 more),Pressure,00:47:36.109,"[104.0, 65.9]",Norway Women's,Norway Women's,ambiguous
3869420_p238_79f7a927,3869420,FIFA World Cup,From Free Kick,Pass,00:06:39.221,"[12.2, 39.2]",Pass,00:06:43.635,"[42.5, 35.7]",4.414,6,1,Pass -> Pressure -> Ball Receipt* -> Carry -> Miscontrol -> Pass,Pressure,00:06:45.393,"[90.3, 54.4]",Brazil,Brazil,ambiguous
3795109_p23_a107bbad,3795109,UEFA Euro,From Free Kick,Pass,00:10:07.290,"[21.9, 54.5]",Pass,00:10:15.057,"[50.5, 53.4]",7.767,10,0,Pass -> Ball Receipt* -> Pass -> Duel -> Ball Receipt* -> Pass ... (+4 more),Duel,00:10:21.843,"[34.5, 74.6]",Czech Republic,Czech Republic,immediate_restart_phase
3773593_p161_6382da70,3773593,La Liga,From Free Kick,Pass,00:47:18.260,"[84.9, 30.5]",Ball Recovery,00:47:19.745,"[18.9, 46.3]",1.485,6,1,Pass -> Ball Receipt* -> Carry -> Pass -> Ball Receipt* -> Ball Recovery,Pressure,00:47:20.147,"[101.2, 31.6]",Barcelona,Barcelona,immediate_restart_phase
3837680_p177_bb7061ed,3837680,Ligue 1,From Free Kick,Pass,00:47:45.565,"[87.4, 9.1]",Ball Recovery,00:47:48.086,"[10.3, 46.0]",2.521,2,0,Pass -> Ball Recovery,Pressure,00:47:50.324,"[107.3, 43.4]",Paris Saint-Germain,Paris Saint-Germain,immediate_restart_phase
3847567_p177_b742d15d,3847567,UEFA Women's Euro,From Free Kick,Pass,00:47:44.624,"[90.7, 51.7]",Ball Recovery,00:47:50.074,"[14.4, 71.1]",5.45,6,0,Pass -> Ball Receipt* -> Duel -> Clearance -> Pressure -> Ball Recovery,Dribbled Past,00:47:52.130,"[86.4, 1.5]",England Women's,England Women's,immediate_restart_phase
3802665_p177_faa41525,3802665,Ligue 1,From Free Kick,Pass,00:44:03.346,"[19.1, 40.8]",Interception,00:44:05.822,"[91.9, 23.4]",2.476,5,1,Pass -> Ball Receipt* -> Pass -> Ball Receipt* -> Interception,Pressure,00:44:07.312,"[19.0, 60.5]",Paris Saint-Germain,Paris Saint-Germain,immediate_restart_phase
3835338_p128_c9558447,3835338,UEFA Women's Euro,From Free Kick,Pass,00:23:48.006,"[43.7, 21.3]",Duel,00:23:57.354,"[37.9, 15.0]",9.348,12,1,Pass -> Ball Receipt* -> Pass -> Ball Receipt* -> Ball Recovery -> Carry ... (+6 more),Pressure,00:24:01.655,"[79.7, 54.1]",WNT Finland,WNT Finland,ambiguous
3869486_p32_1549f984,3869486,FIFA World Cup,From Free Kick,Pass,00:19:52.455,"[24.7, 7.1]",Pass,00:20:00.889,"[66.7, 35.2]",8.434,9,1,Pass -> Ball Receipt* -> Pass -> Pass -> Pressure -> Ball Receipt* ... (+3 more),Block,00:20:02.883,"[52.1, 44.3]",Morocco,Morocco,ambiguous
3998842_p120_7812829d,3998842,UEFA Women's Euro,From Free Kick,Pass,00:19:55.643,"[36.7, 7.4]",Pass,00:19:58.649,"[77.4, 18.1]",3.006,3,0,Pass -> Ball Receipt* -> Pass,Pressure,00:20:02.069,"[49.2, 64.7]",Netherlands Women's,Netherlands Women's,immediate_restart_phase
3869152_p129_bf904a67,3869152,FIFA World Cup,From Free Kick,Pass,00:37:24.061,"[33.0, 47.0]",Ball Recovery,00:37:28.945,"[24.7, 47.6]",4.884,5,1,Pass -> Ball Receipt* -> Duel -> Miscontrol -> Ball Recovery,Pressure,00:37:35.715,"[82.2, 74.4]",France,France,ambiguous
3802837_p141_dadbf52e,3802837,Ligue 1,From Free Kick,Pass,00:29:26.154,"[13.6, 36.6]",Pass,00:29:29.088,"[63.1, 67.2]",2.934,3,0,Pass -> Ball Receipt* -> Pass,Pressure,00:29:30.587,"[47.6, 26.3]",Saint-Étienne,Saint-Étienne,immediate_restart_phase
3788752_p14_832e1363,3788752,UEFA Euro,From Free Kick,Pass,00:05:53.255,"[9.5, 40.0]",Ball Recovery,00:05:57.956,"[51.1, 70.0]",4.701,7,1,Pass -> Pressure -> Ball Receipt* -> Carry -> Miscontrol -> Pressure ... (+1 more),Pressure,00:05:59.542,"[75.4, 18.7]",Hungary,Hungary,ambiguous
3835330_p146_e9736f6f,3835330,UEFA Women's Euro,From Free Kick,Pass,00:41:48.213,"[57.4, 2.4]",Ball Recovery,00:41:55.268,"[28.7, 67.3]",7.055,4,0,Pass -> Clearance -> Pressure -> Ball Recovery,Duel,00:41:56.961,"[89.1, 13.1]",Spain Women's,Spain Women's,immediate_restart_phase
3998851_p80_1ef06feb,3998851,UEFA Women's Euro,From Free Kick,Pass,00:43:08.617,"[88.4, 8.4]",Ball Recovery,00:43:11.523,"[14.1, 45.4]",2.906,6,1,Pass -> Ball Receipt* -> Carry -> Clearance -> Miscontrol -> Ball Recovery,Duel,00:43:13.357,"[104.2, 38.2]",England Women's,England Women's,immediate_restart_phase
3893809_p39_3cb0dad6,3893809,Women's World Cup,From Goal Kick,Pass,00:29:12.056,"[7.0, 36.1]",Pass,00:29:18.358,"[76.0, 57.4]",6.302,6,0,Pass -> Ball Receipt* -> Duel -> Pass -> Block -> Pass,Pressure,00:29:20.346,"[55.0, 44.0]",Nigeria Women's,Nigeria Women's,immediate_restart_phase
3788776_p99_eba9142f,3788776,UEFA Euro,From Goal Kick,Pass,00:04:16.105,"[7.0, 44.1]",Ball Recovery,00:04:22.912,"[29.6, 6.8]",6.807,2,0,Pass -> Ball Recovery,Pass,00:04:24.676,"[77.9, 76.1]",Sweden,Sweden,immediate_restart_phase
3802685_p8_f3d5a70e,3802685,Ligue 1,From Goal Kick,Pass,00:02:34.731,"[7.0, 44.1]",Ball Recovery,00:02:38.853,"[84.8, 17.3]",4.122,5,0,Pass -> Ball Receipt* -> Interception -> Pressure -> Ball Recovery,Dribbled Past,00:02:39.040,"[34.7, 61.5]",Lens,Lens,immediate_restart_phase
3837695_p37_37f2ddfd,3837695,Ligue 1,From Goal Kick,Pass,00:21:18.326,"[6.0, 36.0]",Pass,00:21:26.765,"[63.5, 21.1]",8.439,6,1,Pass -> Ball Receipt* -> Pressure -> Pass -> Duel -> Pass,Pressure,00:21:27.995,"[37.5, 56.7]",Paris Saint-Germain,Paris Saint-Germain,ambiguous
3893810_p168_450816a6,3893810,Women's World Cup,From Goal Kick,Pass,00:32:43.884,"[6.0, 44.0]",Ball Recovery,00:32:46.735,"[79.7, 24.9]",2.851,3,0,Pass -> Ball Receipt* -> Ball Recovery,Pressure,00:32:47.262,"[50.3, 55.0]",Vietnam Women's,Vietnam Women's,immediate_restart_phase
3895095_p54_36436857,3895095,1. Bundesliga,From Goal Kick,Pass,00:33:45.022,"[6.0, 36.0]",Pass,00:33:48.041,"[58.5, 45.2]",3.019,3,0,Pass -> Ball Receipt* -> Pass,Pressure,00:33:50.062,"[47.9, 53.8]",Bayer Leverkusen,Bayer Leverkusen,immediate_restart_phase
3857260_p117_c0d1dce8,3857260,FIFA World Cup,From Goal Kick,Pass,00:09:41.057,"[6.0, 36.0]",Ball Recovery,00:09:50.286,"[10.0, 61.5]",9.229,5,1,Pass -> Ball Receipt* -> Pass -> Pressure -> Ball Recovery,Interception,00:09:56.221,"[77.3, 13.1]",Mexico,Mexico,ambiguous
3901735_p172_10aea53b,3901735,Women's World Cup,From Goal Kick,Pass,00:44:02.074,"[6.0, 44.0]",Pass,00:44:05.424,"[64.9, 20.5]",3.35,3,0,Pass -> Ball Receipt* -> Pass,Duel,00:44:09.330,"[37.5, 66.7]",Nigeria Women's,Nigeria Women's,immediate_restart_phase
3893814_p33_2fdc6928,3893814,Women's World Cup,From Goal Kick,Pass,00:14:45.876,"[7.0, 36.1]",Pass,00:14:58.294,"[56.5, 58.3]",12.418,7,1,Pass -> Ball Receipt* -> Carry -> Pressure -> Pass -> Ball Receipt* ... (+1 more),Pressure,00:14:59.894,"[43.5, 25.4]",Italy Women's,Italy Women's,ambiguous
3877060_p97_e064bdce,3877060,Major League Soccer,From Goal Kick,Pass,00:10:23.888,"[7.0, 44.1]",Ball Recovery,00:10:29.162,"[73.6, 24.6]",5.274,6,0,Pass -> Ball Receipt* -> Duel -> Pass -> Ball Recovery -> Ball Recovery,Pressure,00:10:31.732,"[40.8, 56.7]",Inter Miami,Inter Miami,immediate_restart_phase
3794691_p74_356925ef,3794691,UEFA Euro,From Goal Kick,Pass,00:01:39.528,"[6.0, 36.0]",Ball Recovery,00:01:43.055,"[53.9, 74.4]",3.527,3,0,Pass -> Ball Receipt* -> Ball Recovery,Pressure,00:01:44.936,"[51.6, 6.5]",Switzerland,Switzerland,immediate_restart_phase
3893798_p71_34473f84,3893798,Women's World Cup,From Goal Kick,Pass,00:36:25.272,"[7.0, 44.1]",Pass,00:36:29.883,"[55.9, 17.7]",4.611,7,0,Pass -> Ball Receipt* -> Duel -> Clearance -> Block -> Pressure ... (+1 more),Pressure,00:36:31.023,"[55.9, 66.7]",Jamaica Women's,Jamaica Women's,immediate_restart_phase
3773660_p77_d0a6ff96,3773660,La Liga,From Goal Kick,Pass,00:35:13.134,"[7.0, 36.1]",Ball Recovery,00:35:17.257,"[76.2, 59.8]",4.123,7,2,Pass -> Ball Receipt* -> Pass -> Ball Receipt* -> Pass -> Ball Receipt* ... (+1 more),Interception,00:35:18.270,"[36.0, 25.8]",Levante UD,Levante UD,ambiguous
