episode_id,match_id,competition_name,possession_origin_pattern,restart_event_type,restart_event_timestamp,restart_location,turnover_event_type,turnover_event_timestamp,turnover_location,elapsed_time_restart_to_turnover,num_events_between,num_successful_passes,events_sequence_summary,initiation_event_type,initiation_timestamp,initiation_location,counterpressing_team,possession_team,turnover_context
3893802_p113_20d2eaeb,3893802,Women's World Cup,From Kick Off,Pass,00:00:00.243,"[61.0, 40.1]",Pass,00:00:02.438,"[54.2, 39.5]",2.195,4,1,Pass -> Ball Receipt* -> Carry -> Pass,Pressure,00:00:07.978,"[105.9, 12.8]",Korea Republic Women's,Korea Republic Women's,immediate_restart_phase
3893809_p156_2cde9291,3893809,Women's World Cup,From Kick Off,Pass,00:55:01.721,"[60.0, 40.0]",Pass,00:55:06.434,"[43.2, 42.4]",4.713,5,1,Pass -> Ball Receipt* -> Carry -> Pass -> Pass,Pressure,00:55:12.080,"[47.5, 24.2]",Nigeria Women's,Nigeria Women's,ambiguous
3895340_p126_aeceb345,3895340,1. Bundesliga,From Kick Off,Pass,00:31:42.638,"[60.0, 40.0]",Block,00:31:46.093,"[29.1, 69.1]",3.455,7,2,Pass -> Ball Receipt* -> Pass -> Ball Receipt* -> Pass -> Ball Receipt* ... (+1 more),Pressure,00:31:49.744,"[84.4, 8.2]",Bochum,Bochum,ambiguous
3844386_p96_1c9058bd,3844386,UEFA Women's Euro,From Kick Off,Pass,00:00:00.659,"[60.0, 40.0]",Pass,00:00:02.886,"[44.2, 40.6]",2.227,3,1,Pass -> Ball Receipt* -> Pass,Duel,00:00:05.774,"[73.7, 9.2]",Belgium Women's,Belgium Women's,immediate_restart_phase
3895052_p92_33178d9d,3895052,1. Bundesliga,From Kick Off,Pass,00:00:00.642,"[61.0, 40.1]",Pass,00:00:03.386,"[46.8, 50.5]",2.744,4,1,Pass -> Ball Receipt* -> Carry -> Pass,Foul Committed,00:00:06.582,"[93.4, 15.5]",Bayer Leverkusen,Bayer Leverkusen,immediate_restart_phase
3893822_p21_01160362,3893822,Women's World Cup,From Kick Off,Pass,00:12:41.083,"[60.0, 40.0]",Ball Recovery,00:12:45.290,"[37.4, 78.6]",4.207,4,1,Pass -> Ball Receipt* -> Miscontrol -> Ball Recovery,Pressure,00:12:47.980,"[86.6, 15.9]",Spain Women's,Spain Women's,ambiguous
3869519_p2_080019f3,3869519,FIFA World Cup,From Kick Off,Pass,00:00:00.423,"[61.0, 40.1]",Pass,00:00:06.423,"[23.3, 47.6]",6.0,5,1,Pass -> Ball Receipt* -> Carry -> Pass -> Pass,Block,00:00:08.509,"[70.4, 38.2]",Croatia,Croatia,ambiguous
3869118_p74_37a3f5a4,3869118,FIFA World Cup,From Kick Off,Pass,00:00:00.506,"[61.0, 40.1]",Tactical Shift,00:00:04.078,,3.572,6,1,Pass -> Ball Receipt* -> Carry -> Substitution -> Pass -> Tactical Shift,Duel,00:00:06.204,"[85.9, 69.8]",England,England,ambiguous
3902240_p268_dc2642a1,3902240,Women's World Cup,From Kick Off,Pass,00:07:07.974,"[60.0, 40.0]",Pass,00:07:12.929,"[31.9, 58.0]",4.955,4,1,Pass -> Ball Receipt* -> Pass -> Pass,Pressure,00:07:14.811,"[74.6, 6.7]",Netherlands Women's,Netherlands Women's,ambiguous
3795220_p172_ae4fe498,3795220,UEFA Euro,From Kick Off,Pass,00:00:00.772,"[60.0, 40.0]",Pass,00:00:03.468,"[42.4, 30.3]",2.696,4,1,Pass -> Ball Receipt* -> Carry -> Pass,Duel,00:00:06.371,"[92.9, 65.4]",Spain,Spain,immediate_restart_phase
