feature,count,missing_count,missing_pct,mean,std,min,p25,median,p75,max
opponent_hull_area,21532,84,0.39,590.666,306.089,0.1,369.855,545.755,767.558,2468.13
teammate_hull_visible_area_ratio,20989,627,2.9,0.21,0.102,0.0,0.139,0.201,0.272,0.786
opponent_hull_visible_area_ratio,21532,84,0.39,0.228,0.101,0.0,0.157,0.218,0.288,0.733
distance_to_nearest_touchline,21616,0,0.0,20.287,10.753,0.0,10.9,20.4,29.0,40.0
distance_to_own_goal_line,21616,0,0.0,67.104,26.995,0.3,46.9,69.6,88.1,119.7
distance_to_opponent_goal_line,21616,0,0.0,52.896,26.995,0.3,31.9,50.4,73.1,119.7
lateral_centrality,21616,0,0.0,0.507,0.269,0.0,0.273,0.51,0.725,1.0
pitch_zone,21616,0,0.0,,,,,,,
pitch_zone_3x3,21616,0,0.0,,,,,,,
opponents_ahead_of_ball,21616,0,0.0,3.088,2.1,0.0,2.0,3.0,4.0,11.0
defenders_ahead_of_ball,21616,0,0.0,3.548,2.015,0.0,2.0,3.0,5.0,10.0
forward_numerical_advantage,21616,0,0.0,-0.459,1.726,-7.0,-2.0,-1.0,1.0,6.0
nearest_defender_ahead_distance,20470,1146,5.3,11.467,8.613,0.42,6.66,9.73,13.65,104.76
nearest_opponent_ahead_distance,19596,2020,9.34,8.528,9.746,0.15,2.47,5.71,11.11,104.08
opponents_in_escape_corridor_20,21616,0,0.0,0.624,0.764,0.0,0.0,0.0,1.0,6.0
defenders_in_escape_corridor_20,21616,0,0.0,0.84,0.856,0.0,0.0,1.0,1.0,6.0
escape_corridor_advantage_20,21616,0,0.0,-0.216,0.899,-6.0,-1.0,0.0,0.0,5.0
nearest_defender_in_escape_corridor,12971,8645,39.99,11.297,4.385,0.5,8.05,11.27,14.64,19.99
nearest_opponent_in_escape_corridor,10316,11300,52.28,9.173,5.428,0.24,4.31,9.23,13.442,20.0
escape_corridor_coverage_20,21616,0,0.0,0.778,0.286,0.0,0.618,0.924,1.0,1.0
regain_5s_controlled,21616,0,0.0,0.347,0.476,0.0,0.0,0.0,1.0,1.0
dangerous_escape_15s,21616,0,0.0,0.224,0.417,0.0,0.0,0.0,0.0,1.0
episode_outcome_3class,21616,0,0.0,,,,,,,
