competition,match_count,total_actions,total_episodes,open_play_episodes,pct_open_play,episodes_with_initiation_360,pct_with_360,primary_cohort_eligible,pct_primary_cohort,regain_5s_count,regain_5s_pct,dangerous_escape_count,dangerous_escape_pct
UEFA Euro,102,9822,6305,5934,94.12,5603,88.87,4764,75.56,2328,36.92,1339,21.24
Women's World Cup,64,8215,5099,4563,89.49,4641,91.02,3917,76.82,1838,36.05,1181,23.16
UEFA Women's Euro,61,7326,4660,4270,91.63,4200,90.13,3533,75.82,1735,37.23,907,19.46
Ligue 1,58,6255,4122,3985,96.68,3523,85.47,2924,70.94,1673,40.59,862,20.91
FIFA World Cup,64,6047,3964,3709,93.57,3532,89.1,2955,74.55,1513,38.17,863,21.77
La Liga,35,3549,2341,2252,96.2,2218,94.75,1861,79.5,869,37.12,538,22.98
1. Bundesliga,34,3554,2293,2178,94.98,1937,84.47,1662,72.48,907,39.56,487,21.24
Major League Soccer,6,621,402,381,94.78,192,47.76,0,0.0,161,40.05,84,20.9
TOTAL,424,45389,29186,27272,93.44,25846,88.56,21616,74.06,11024,37.77,6261,21.45
